tam_motor,cilindrada,consumo_combustible,emision_CO2
3.7,6,15.3,321
3.7,6,16,328
3,6,13.8,289
3,6,13.8,289
2.9,6,14.7,307
2.9,6,14.4,305
4,8,15.8,331
4,8,15.2,326
4,8,16.8,343
4,8,15.9,330
4,8,16.8,345
2,4,12.4,263
2.9,6,13.8,289
2.9,6,13.5,290
2.9,6,13.1,274
2.9,6,12.8,274
2.9,6,13.8,289
2.9,6,12.8,274
2.9,6,12.8,276
2.9,6,13.8,292
2.9,6,13.8,292
4,8,15.7,323
4,8,15.7,323
4,8,15.3,326
4,8,15.3,326
4,8,15.3,326
3,6,10.5,243
3,6,10.4,238
3.6,6,11.9,253
3.6,6,11.6,245
5.7,8,16.2,320
5.7,8,13,275
3,6,11.1,260
3.6,6,12.2,260
5.7,8,16.1,325
5.7,8,13.4,284
6.2,8,22.4,465
3.6,6,13.9,280
5.7,8,15.9,323
3.6,6,14.5,295
5.7,8,16.2,330
2.4,4,11.2,232
6.7,12,20.1,386
6.7,12,20.1,386
6.7,12,19.9,387
6.7,12,19.9,387
6.7,12,19.9,387
6.7,12,20,382
6.7,12,20,382
2.4,4,11.7,245
2.4,4,11,224
2.4,4,12,247
2,4,8.5,184
2,4,10.5,220
2.5,4,8.8,188
2.5,4,9,192
2.5,4,9.5,210
2,4,8.3,174
2,4,10.1,209
2,4,8.4,178
2,4,10.1,211
2.4,4,9.9,205
2.5,4,8.8,184
2.4,4,10.1,213
2.5,4,9,192
2.4,4,10.9,235
2.4,4,12.7,262
2.4,4,12.3,254
4,6,14.9,323
4,6,14.8,321
2,4,8.7,189
2.5,4,8.5,174
2.5,4,8.6,178
3.5,6,10.7,215
3.5,6,10.8,220
2.5,4,9.4,192
2.5,4,9.5,195
2.5,4,4.9,113
2.5,4,5.3,121
1.8,4,7.9,166
1.8,4,8.1,170
1.8,4,8,165
2,4,7.6,159
2,4,7.7,164
2,4,8.2,172
2,4,7.7,164
2,4,7.5,159
2,4,8.4,179
1.8,4,4.4,106
2,4,7.6,171
2,4,8.1,182
2.4,4,11.1,224
2.4,4,11.9,246
2,4,9.3,195
3,6,10.6,218
3.5,6,11.8,241
2.5,4,6.7,158
2.5,4,6.6,156
1.8,4,4.4,106
1.8,4,4.6,111
2.5,4,8.8,184
2.5,4,8.5,180
2.5,4,9.5,198
2.5,4,8.8,187
2.5,4,8.7,184
2.5,4,9.5,200
2.5,4,5.8,140
5.7,8,18.5,385
2.5,4,6.6,154
2.5,4,6.8,158
3.5,6,13,278
3.5,6,13.8,299
3.5,6,13.8,300
3.4,6,13.1,277
3.4,6,13.6,285
3.4,6,13.5,286
3.4,6,12.7,274
3.4,6,12.5,277
2.5,4,5.9,142
2,4,11.5,249
3.6,6,13.8,286
2,4,11.6,252
3.6,6,13.1,275
2,4,9.3,194
2,4,9.8,198
2,4,10.3,213
2,4,11.8,237
1.5,4,7.7,159
1.5,4,8.1,167
1.5,4,8,161
2,4,9,185
2,4,9.1,186
2,4,9.7,196
1.5,4,8.4,178
1.5,4,9.5,200
2,4,10.6,222
2,4,11,229
2,4,9,186
2,4,9.4,193
2,4,10.4,212
2,4,11.3,224
2,4,10.9,221
2,4,10.6,222
2,4,10.7,217
2,4,10.7,219
2,4,10.5,219
2,4,11,232
2,4,11.5,236
2,4,12.4,252
